meal_name,meal_category,meal_tags,meal_description,recipe_url,protein,carbs,fat,calories,fiber,sugar,sodium,cholesterol,saturated_fat,trans_fat,ingredients,instructions,datetime,image_path
ttest,Breakfast,,wersdf,,20,30,10,290,0,0,0,0,0,0,,,2025-03-02 02:55:33,
Stuffed Zucchini,Breakfast,Vegetarian,,https://theplantbasedschool.com/stuffed-zucchini/,8,15,10,182,0,0,0,0,0,0,"5 medium zucchini
1 tbsp olive oil
3 spring onions finely chopped
3 cloves of garlic pressed or grated
1 tsp dreid oregano
1 tsp salt or to taste
1/8 tsp black pepper
1 cup ricotta cheese
3/4 cup parmesan cheese
1/2 packed cup sun-dried tomatoes cut into small pieces
1/2 cup breadcrumbs
1 tsp lemon zest grated","1. Preheat the oven to 400°F or 200°C. Wash and dry 5 zucchini, cut them in half lengthwise, and scoop the flesh out with a teaspoon or melon baller.
2. Chop the flesh finely with a knife. Set aside.
3. In a large skillet, heat 1 tablespoon olive oil. Add 3 spring onions (finely chopped) and 3 cloves garlic (pressed) and sauté them for 2 to 3 minutes on medium heat, stirring often. Add the chopped zucchini pulp, season with 1 teaspoon dried oregano, 1 teaspoon salt, and ⅛ teaspoon black pepper, and cook for about 5 minutes until the water released from the zucchini evaporates.
4. Transfer the zucchini to a mixing bowl and add 1 cup ricotta cheese, ¾ cup parmesan cheese, ½ packed cup sun-dried tomatoes (chopped), ½ cup breadcrumbs, and 1 teaspoon grated lemon zest. Mix with a spatula until the mixture is well combined.
5. Fill the zucchini boats with a few spoonfuls of mixture and arrange them on a baking sheet lined with parchment paper. Optionally, sprinkle with some grated parmesan.
6. Bake in the oven at 400°F or 200°C for 20 minutes (air-fryer at 350°F or 180°C, 12 to 15 minutes) or until the stuffed zucchini are golden brown on top and tender-crisp at the bottom.
7. Arrange them on a serving platter and enjoy them as a main or side dish. You can add a squeeze of lemon juice for freshness and some basil leaves for aroma.",2025-03-02 03:22:15,
Stuffed Zucchini,Breakfast,Vegetarian,,https://theplantbasedschool.com/stuffed-zucchini/,8,15,10,182,0,0,0,0,0,0,"5 medium zucchini
1 tbsp olive oil
3 spring onions finely chopped
3 cloves of garlic pressed or grated
1 tsp dreid oregano
1 tsp salt or to taste
1/8 tsp black pepper
1 cup ricotta cheese
3/4 cup parmesan cheese
1/2 packed cup sun-dried tomatoes cut into small pieces
1/2 cup breadcrumbs
1 tsp lemon zest grated","1. Preheat the oven to 400°F or 200°C. Wash and dry 5 zucchini, cut them in half lengthwise, and scoop the flesh out with a teaspoon or melon baller.
2. Chop the flesh finely with a knife. Set aside.
3. In a large skillet, heat 1 tablespoon olive oil. Add 3 spring onions (finely chopped) and 3 cloves garlic (pressed) and sauté them for 2 to 3 minutes on medium heat, stirring often. Add the chopped zucchini pulp, season with 1 teaspoon dried oregano, 1 teaspoon salt, and ⅛ teaspoon black pepper, and cook for about 5 minutes until the water released from the zucchini evaporates.
4. Transfer the zucchini to a mixing bowl and add 1 cup ricotta cheese, ¾ cup parmesan cheese, ½ packed cup sun-dried tomatoes (chopped), ½ cup breadcrumbs, and 1 teaspoon grated lemon zest. Mix with a spatula until the mixture is well combined.
5. Fill the zucchini boats with a few spoonfuls of mixture and arrange them on a baking sheet lined with parchment paper. Optionally, sprinkle with some grated parmesan.
6. Bake in the oven at 400°F or 200°C for 20 minutes (air-fryer at 350°F or 180°C, 12 to 15 minutes) or until the stuffed zucchini are golden brown on top and tender-crisp at the bottom.
7. Arrange them on a serving platter and enjoy them as a main or side dish. You can add a squeeze of lemon juice for freshness and some basil leaves for aroma.",2025-03-02 03:29:30,images\meal_20250302_032930.jpg
Lentil Chili,Dinner,Vegeterian,,https://theplantbasedschool.com/lentil-chili/,8,108,20,644,0,0,0,0,0,0,"2 tbsp olive oil
1 large onion
3 cloves of garlic
1 red bell pepper
1/4 tsp red pepper flakes
2 tsp ground cumin
1 1/2 tsp smoked paprika
1/2 tsp dried oregano
2 tbsp tomato paste
2 bay leaves
1 cup dried lentils green or brown
2 cans (15 oz) beans
2 cans (15 oz) crushed tomatoes
4 cups vegetable broth
1 tsp salt or to taste
2 twists black pepper ","1. Heat 2 tablespoons olive oil in a large pot; add 1 large onion, 1 red bell pepper (both chopped), and 3 cloves garlic (pressed). Cook on medium-low heat for 5 minutes, stirring often. Add ¼ teaspoon red pepper flakes, 2 teaspoons ground cumin, 1½ teaspoons smoked paprika, ½ teaspoon dried oregano, 2 tablespoons tomato paste, and 2 bay leaves and cook for 1 more minute.
2. Add 1 cup dried lentils (rinsed), 2 cans (15 ounces each) beans (drained and rinsed), 2 cans (15 ounces each) crushed tomatoes, and 4 cups vegetable broth.
3. Season with 1 teaspoon salt and 2 twists black pepper. Bring to a boil, then lower the heat and simmer for 30 to 45 minutes or until the lentils are tender. Taste and adjust for salt and heat. You might need to add more vegetable broth to finish cooking the lentils.
4. Serve in a bowl with cooked brown rice and a generous squeeze of lime juice. Optionally, top with fresh cilantro, pickled red onions or jalapeños, and a dollop of sour cream or yogurt.",2025-03-02 03:36:03,images\meal_20250302_033603.jpg
Smashed Edamame Toast,Lunch,Vegetarian,,https://rainbowplantlife.com/20-minute-high-protein-vegan-meals/,31,52,25,557,0,0,0,0,0,0,"1/4 cup tahini
12 oz shelled frozen edamame defrosted
1/2 medium ripe avacado
1 1/2 tbsp soy sauce
4 cloves of garlic chopped
1/2 - 1 serrano pepper chopped
1 large handful cilantro leaves
1 tsp toasted sesame oil
1 large lime zested and juiced
Salt to taste","1. Add the tahini, edamame, avocado, soy sauce, garlic, chile pepper, cilantro, sesame oil, and lime zest and juice to a food processor. Start blending until it turns into a chunky dip. Season with salt to taste as needed.
2. Toast your bread of choice. Smear a generous amount of the edamame smash onto each slice of bread.
3. Top with hemp seeds and sauerkraut or pickled onions, if desired.
4. Store leftover spread in an airtight container in the fridge for 7 to 10 days. The green color will fade but it will still taste good.",2025-03-02 03:46:39,images\meal_20250302_034639.jpg
Tofu Noodle Bowl with Almond Butter Sauce,Breakfast,Vegetarian,,https://rainbowplantlife.com/20-minute-high-protein-vegan-meals/,33,69,18,570,0,0,0,0,0,0,"8 oz super firm tofu
3/4 tsp salt
black pepper
1/2 tsp garlic powder
1/2 tsp onion powder
1/2 tsp Chinese five spice powder
1 tbs oil
4 oz whole weat spaghetti
3 cups broccoli florets
4 tbs almond butter
1/2 tbsp agave nectar
1 tbsp rice vinegar
2 tsp soy sauce
1/2 tsp sichuan chile flakes
2 - 3 tbsp water
sesame oil
2 tbsp toasted white/black sesame seeds","1. Bring a medium saucepan of water to a boil for the pasta. When it’s boiling, salt generously.
2. Cut the tofu into 4 slabs. Squeeze out as much water as you can. Crumble tofu into small pieces, about the size of a blueberry. Transfer to a large bowl. In a small bowl, combine the salt and spices. Sprinkle over tofu and gently toss with your hands to coat.
3. Cook the tofu. Heat the oil in a medium or large nonstick frying pan over medium-high heat. Once hot, add the tofu and spread out in a single packed layer. Cook 2 to 3 minutes undisturbed. Flip and continue cooking for a total of 10 to 12 minutes, stirring only every 2 minutes, until most of the tofu is browned.
4. Cook the pasta and broccoli. While the tofu is cooking, cook the pasta according to package instructions for al dente. About 3 minutes before the timer is done, add the broccoli and cook until the pasta is al dente and the florets are bright green and crisp tender. Drain and rinse under cool water to bring to room temperature.
5. Make the sauce. Meanwhile, stir together the almond butter, agave, vinegar, soy sauce, and chile flakes. Add a bit of water to thin out.
6. Toss cooled pasta and broccoli with the almond butter sauce. Add in the tofu crumbles. Drizzle very lightly with toasted sesame oil and garnish with sesame seeds.",2025-03-02 03:50:07,images\meal_20250302_035007.jpg
Black Bean and Sweet Potato Quesadillas,Breakfast,High Carb,,https://www.forksoverknives.com/recipes/vegan-burgers-wraps/black-bean-and-sweet-potato-quesadillas/,14,69,13,449,0,0,0,0,0,0,"1 large sweet potato
1 cup salsa
1 cup brown rice cooked
1 cup spinach
8 oz vegetarian re-fried beans
8 oz black beans
1/4 tsp onion powder
1/4 tsp chili powder
1/4 tsp cumin
1 jalapeño pepper diced
6 - 8 whole-wheat tortillas","1. Preheat oven to 375º F.  Prepare a sheet pan with parchment paper.
2. An hour before you plan to eat, peel and quarter the sweet potatoes.
3. Bake sweet potatoes in the oven for 45 minutes to one hour, until soft.
4. Remove sweet potatoes from oven and toss into a mixing bowl. Mash sweet potatoes with the salsa, rice and fresh spinach.
5. Place sweet potato mash in a sauce pan and mix in black beans and refried beans, heating mixture thoroughly over medium heat.   Add onion powder, chili powder and cumin to taste and stir.
6. Place a tortilla in a frying pan on medium heat, and slather the side facing up with sweet potato and bean mixture.  Add jalapeños if desired.
7. Place another whole wheat tortilla on top.  Press down on top tortilla with spatula with pan on medium heat for about 3 minutes. Flip with spatula and cook for another three minutes.
8. Voila! Cut into desired number of sections. Serve topped with salsa.",2025-03-02 04:07:31,images\meal_20250302_040731.jpg
Soft Dinner Rolls,Breakfast,High Carb,,https://www.tasteofhome.com/recipes/pillow-soft-dinner-rolls/#RecipeCard,5,31,15,279,0,0,0,0,0,0,"4 1/2 tsp active dry yeast
1/2 cup warm water (110° to 115°)
2 cups warm 2% milk (110° to 115°)
6 tbsp shortening
2 large eggs room temperature
1/4 cup sugar
1 1/2 teaspoons salt
7 - 7 1/2 cups all-purpose flour","1. In a large bowl, dissolve yeast in warm water. Add the milk, shortening, eggs, sugar, salt and 3 cups flour. Beat until smooth. Stir in enough remaining flour to form a soft dough.
2. Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes (dough will be sticky). Place in a greased bowl, turning once to grease top. Cover and let rise in a warm place until doubled, about 1 hour.
3. Punch dough down. Turn onto a lightly floured surface; divide into 24 pieces. Shape each into a roll. Place 2 in. apart on greased baking sheets. Cover and let rise until doubled, about 30 minutes.
4. Bake at 350° for 20-25 minutes or until golden brown. Remove to wire racks.",2025-03-02 04:13:30,images\meal_20250302_041330.jpg
Cheesy Broccoli Cheddar Spaghetti Squash,Breakfast,Keto,,https://www.delish.com/cooking/recipe-ideas/a62651964/cheesy-broccoli-cheddar-spaghetti-squash-recipe/,11,18,12,224,0,0,0,0,0,0,"1 medium spaghetti squash
1 tbsp neutral oil
1 3/4 tsp kosher salt
6 oz broccoli
1/4 cup water
3 tbsp unsalted butter
1/2 yellow onion finely chopped
3 cloves of garlic minced
1 tbsp all-purpose flour
1/2 cup whole milk
4 oz shredded cheddar","1. Arrange a rack in center of oven; preheat to 400°. Cut spaghetti squash in half lengthwise. Scrape out seeds. Rub inside of squash with oil; season with 1 tsp. salt. Arrange cut side down on a baking sheet.
2. Roast squash until tender and browned, 35 to 45 minutes. Let cool slightly.
3. Meanwhile, in a medium heatproof bowl, season broccoli with 1/4 tsp. salt. Pour 1 Tbsp. water into bottom of bowl. Cover and microwave 1 minute. Stir and continue to microwave in 30-second increments until broccoli is bright green and fork-tender, 30 seconds to 1 minute more. Uncover and let cool slightly.
4. In a large skillet over medium heat, melt butter. Add onion; season with 1/2 tsp. salt. Cook, stirring occasionally, until onion is tender and sweet to the taste, 7 to 8 minutes. Add garlic and cook, stirring, until fragrant, about 1 minute more. Add flour and cook, stirring, until a bubbling paste forms on bottom of skillet, about 1 minute more.
5. Slowly whisk in milk and remaining 1/4 cup water. Bring to a simmer over medium-high heat and cook, stirring occasionally, until thickened, 1 to 2 minutes. Remove from heat and fold in 3 oz. cheddar until a smooth sauce forms; season with salt, if needed.
6. Using 2 forks, shred spaghetti squash strands. Measure out 3 cups and transfer to skillet; reserve remaining squash for another use. Add broccoli to skillet and toss to coat in sauce.
7. Return cheesy spaghetti squash to squash shells. Top with remaining 1 oz. cheddar.
8. Heat broiler. Broil squash, watching closely, until cheese is melty and blistered on top, 1 to 2 minutes.
",2025-03-02 07:12:06,images\meal_20250302_071206.jpg
Cheesy Bacon Ranch Chicken,Breakfast,Low carbs,,https://www.delish.com/cooking/recipe-ideas/a27156187/cheesy-bacon-ranch-chicken-recipe/,58,2,10,330,0,0,0,0,0,0,"4 slifes thick-cut bacon
4 boneless skinless chicken breasts
salt
ground black pepper
2 tsp rach seasoning
1 1/2 cups shredded mozzarella
Chopped chives for garnish","1. In a large skillet over medium heat, cook bacon, flipping once, until crispy, about 8 minutes. Transfer to a paper towel–lined plate. Drain all but 2 tablespoons of bacon fat from the skillet.
2. Season chicken with salt and pepper. Return skillet to medium-high heat, add chicken and cook until golden and just cooked through, about 6 minutes per side. 
3. Reduce heat to medium and sprinkle chicken with ranch seasoning and top with mozzarella. Cover the skillet and cook, until cheese is melted and bubbly, about 5 minutes. 
4. Crumble and sprinkle bacon and chives on top before serving.",2025-03-02 07:16:43,images\meal_20250302_071643.jpg
Orange Chicken & Broccoli Skillet,Dinner,High protein,,,30,34,20,436,0,0,0,0,0,0,"1 tbsp canola oil
6 (6oz) bone in skin on chicken thighs
1 tbsp grated orange zest
3/4 cupe orange juice
2 tbsp soy sauce
2 tsp sugar
2 tsp ginger finly chopped
1 1/8 tsp salt
1 1/2 tsp cornstarch
1/4 tsp ground pepper
2 (8.8 oz) precooked microwave brown rice
6 cups broccoli
1/4 cup scallions sliced
1 tbsp toasted sesame seeds","1. Preheat oven to 350°F. Heat 1 tablespoon oil in a large ovenproof skillet over medium-high heat. Add chicken, skin-side down; cook, undisturbed, until the skin is golden brown and crisp, 8 to 10 minutes. Transfer the chicken, skin-side up, to a large plate. Remove skillet from heat; reserve 1 tablespoon of the drippings in the skillet (discard remaining drippings).
2. Meanwhile, whisk 1 tablespoon orange zest, ¾ cup orange juice, 2 tablespoons soy sauce, 2 teaspoons sugar, 2 teaspoons ginger, 1⅛ teaspoons salt, 1 teaspoon cornstarch and ¼ teaspoon pepper in a medium bowl until combined. Pour ½ cup of the mixture into a small saucepan.
3. To the reserved drippings in the skillet, add 2 (8.8-ounce) packages brown rice, 6 cups broccoli and the remaining ½ cup orange juice mixture and ½ teaspoon cornstarch; stir until well combined. Nestle the chicken, skin-side up, into the broccoli mixture.
4. Bake until the broccoli is tender, the sauce has thickened slightly, and an instant-read thermometer inserted into the thickest portion of chicken registers at least 165°F, 35 to 40  minutes.
5. Meanwhile, bring the reserved orange juice mixture in the saucepan to a simmer over medium heat. Simmer, stirring occasionally, until the sauce thickens and coats the back of a spoon, about 5 minutes. Spoon the sauce over the chicken. Sprinkle with scallions and sesame seeds.",2025-03-02 07:18:47,images\meal_20250302_071847.jpg
Cranberry-Balsamic Chicken Thighs,Breakfast,High protein,,https://www.eatingwell.com/recipe/262105/cranberry-balsamic-chicken-thighs/,23,16,10,246,0,0,0,0,0,0,"4 bone in chicken thighs
1/2 tsp salt
1/4 tsp pepper
1 tbsp extra-virgin olive oil
1 1/2 cups cranberries
1/4 up balsamic vinegar
2 tbsp honey
1 tsp thyme chopped","1. Sprinkle chicken with 1/4 teaspoon each salt and pepper. Heat oil in a large skillet over medium-high heat. Add the chicken, skin-side down, reduce heat to medium and cook, undisturbed, until golden brown, about 7 minutes. Remove all but 1 tablespoon fat from the pan.
2. Turn the chicken over and add cranberries, vinegar, honey and thyme to the pan. Bring to a simmer over high heat, then reduce heat to maintain a simmer. Partially cover and cook, stirring occasionally, until an instant-read thermometer inserted in the thickest part without touching bone reaches 165 degrees F, 10 to 12 minutes.
3. Transfer the chicken to a serving platter. Increase heat to high, add the remaining 1/4 teaspoon salt and cook uncovered, stirring, until the sauce is thickened, about 1 minute. Serve the chicken with the sauce.",2025-03-02 08:46:03,images\meal_20250302_084603.jpg
Buttermilk corn pancakes with bacon & maple syrup,Breakfast,High calories,,https://www.bbcgoodfood.com/recipes/buttermilk-corn-pancakes-with-bacon-maple-syrup,35,52,13,465,0,0,0,0,0,0,"75g fine cornmeal
125g plain flour
1 tsp baking powder
 4 large eggs beaten
110ml buttermilk
60g butter melted
300g sweetcorn
4 spring onions chopped
sunflower oil
8-12 back bacon
maple syrup","1. Heat the oven to 150C/130C fan/gas 2 – you’ll need the oven to keep the pancakes warm later on. Put the cornmeal, flour, baking powder, eggs, buttermilk, melted butter and half the sweetcorn into the bowl of a food processor and pulse to combine (you want the corn to be chopped, not puréed). Stir in the spring onions and remaining corn.
2. Heat two frying pans over a medium heat, and add about 1 tbsp oil to each. Ladle two pancakes, measuring about 10-12cm across, into each pan. Cook for about 3-4 mins until set and small bubbles form on top. Using a palette knife, flip the pancakes over and cook on the other side for 2-3 mins more. Transfer the cooked pancakes to a roasting tin or baking sheet lined with a double layer of baking parchment, and put in the oven to keep them warm.
3. When all the pancakes are cooked, add a little more oil to the pans, then cook the bacon until golden on both sides. Serve alongside the pancakes, with the maple syrup drizzled over and some extra spring onions sprinkled on top.",2025-03-02 08:56:36,images\meal_20250302_085636.jpg
Yorkshire pudding wrap,Lunch,High calories,,https://www.bbcgoodfood.com/recipes/yorkshire-pudding-wrap,60,78,13,669,0,0,0,0,0,0,"150g plain flour
3 eggs
300ml full-fat milk
2 tbsp vegetable oil
50g frozen peas
100g kale leaves
2 tbsp horseradish sauce
1 tbsp english mustard
200g roast beef slices
100ml beef gravy","1. Whisk the flour, eggs and milk together with a pinch of salt until smooth. Cover and rest for 30 mins (or chill in the fridge overnight).
2. Heat oven to 220C/200C fan/ gas 7 and put a large pan of salted water on to boil. Heat the oil in a large roasting tin (40cm x 30cm approx) in the oven for 10 mins. Once hot, pour in the batter and cook for 25 mins or until puffed up and golden.
3. Meanwhile, tip the peas and kale into the boiling water and cook for 2-3 mins until tender. Drain well and season.
4. When the pudding comes out of the oven, remove from the tin, flatten with the back of a large metal spoon and halve lengthways. Spread 1 tbsp horseradish over each half, followed by the mustard, beef slices, peas, kale and gravy. Wrap up and serve.",2025-03-02 09:07:27,images\meal_20250302_090727.jpg
Pesto spinach penne,Lunch,Low calorie,,https://www.bbcgoodfood.com/recipes/pesto-spinach-penne,16,70,15,479,0,0,0,0,0,0,"400g wholemeal penne
5 tbsp vegetarian basil pesto
500g baby spinach chopped
220g cherry tomatoes halved","1. Cook the penne following pack instructions. Meanwhile, heat 4 tbsp of the pesto in a non-stick pan over a medium-low heat. Add the spinach and 2 tbsp water, then cover to wilt.
2. Drain the pasta and toss with the spinach, the rest of the pesto and the tomatoes. Serve half. Cool and chill the rest. Will keep chilled for three days. Reheat with a splash of water.
",2025-03-02 09:29:21,images\meal_20250302_092921.jpg
Vegan squash stew,Lunch,Low calorie,,https://www.bbcgoodfood.com/recipes/vegan-squash-stew,17,70,8,420,0,0,0,0,0,0,"2 tbsp rapeseed oil
320g large chestnut muschrooms quartered
2 bay leaves
2 tbsp fresh rosemary
4 red onions quartered
4 garlic cloves sliced
320g butternut squash
600ml vegetable stock
2 (400g) cans chickpeas drained
1 tbsp smoked paprika
4 tbsp tomato puree
broccoli and peas
700g swede peeled and cut in chunks
850g potatoes cut in chunks","1. Heat the oil in a large non-stick pan over a medium heat and fry the mushrooms, bay and rosemary for about 5 mins. Tip in the onions and garlic, and cook for a few minutes more until softened.
2. Add the butternut squash, stock, chickpeas, smoked paprika and tomato purée. Cover and simmer for 40 minutes until the liquid has reduced to a thick gravy.
3. About 25 mins before the end of cooking time, make the mash. Bring a large pan of water to the boil and cook the swede for 5 mins, then add the potatoes and boil for 15-20 mins until tender. Drain and mash with plenty of black pepper.
4. Serve half the stew and mash now, then chill the rest to reheat and eat another day. Will keep chilled for up to three days. Reheat the stew in a pan until piping hot. The mash can be reheated in the microwave. Serve with broccoli and peas, if you like.",2025-03-02 09:31:59,images\meal_20250302_093159.jpg
